Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100,Note
tas,ACCESS1.0,RCP4.5,r1i1p1,8.071953116522916,1.6658646901448577,2.637566333346898,3.6624050140380877,"Baseline partially forced by RCP4.5, RCP8.5"
tas,ACCESS1.0,RCP8.5,r1i1p1,8.071953116522916,1.2972482045491542,3.663647757636177,6.2308758629692935,"Baseline partially forced by RCP4.5, RCP8.5"
tas,ACCESS1.3,RCP4.5,r1i1p1,9.20845141940649,1.1124323527018234,2.2914730495876725,3.07036658393012,"Baseline partially forced by RCP4.5, RCP8.5"
tas,ACCESS1.3,RCP8.5,r1i1p1,9.20845141940649,1.2237118191189236,3.2819702996148,5.232432471381292,"Baseline partially forced by RCP4.5, RCP8.5"
tas,bcc-csm1.1,RCP2.6,r1i1p1,6.213952721489823,1.2751971774631077,1.5103717380099821,1.1998710632324219,NA
tas,bcc-csm1.1,RCP4.5,r1i1p1,6.213952721489823,1.1021406385633679,2.20902608235677,2.4601615058051216,NA
tas,bcc-csm1.1,RCP6.0,r1i1p1,6.213952721489823,0.8638671027289497,2.271686384412977,3.1533991495768223,NA
tas,bcc-csm1.1,RCP8.5,r1i1p1,6.213952721489823,1.4368707444932722,2.99970948961046,4.938876512315538,NA
tas,bcc-csm1.1-m,RCP2.6,r1i1p1,8.10740644666886,1.1464703877766933,1.5630400763617622,1.625142923990886,NA
tas,bcc-csm1.1-m,RCP4.5,r1i1p1,8.10740644666886,1.2437973870171444,1.8371479458279083,2.3056968688964847,NA
tas,bcc-csm1.1-m,RCP6.0,r1i1p1,8.10740644666886,1.3461709764268672,2.027059427897136,2.849293518066407,NA
tas,bcc-csm1.1-m,RCP8.5,r1i1p1,8.10740644666886,1.5456340365939667,2.913457149929471,4.385762023925782,NA
tas,BNU-ESM,RCP2.6,r1i1p1,5.489047057540351,1.4558807514331953,1.9628542723479088,2.1194766715720847,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,BNU-ESM,RCP4.5,r1i1p1,5.489047057540351,1.8934173725269456,2.8789049925627532,3.870600057531285,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,BNU-ESM,RCP8.5,r1i1p1,5.489047057540351,1.2551670215747972,3.7731731132224757,6.674339732417354,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CanESM2,RCP2.6,r1i1p1,11.890110722294583,1.6233361703378186,2.3088687190303094,2.1532965483488855,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
tas,CanESM2,RCP4.5,r1i1p1,11.890110722294583,1.5258449695728444,2.791864324499059,3.4202912789803968,"Baseline partially forced by RCP2.6, RCP4.5, RCP8.5"
