Var,Model,Scenario,Ensemble,1981-2010,2011-2040,2041-2070,2071-2100
tas,CMCC-CM,RCP8.5,r1i1p1,NA,7.555012088351802,9.40696250067819,11.514022911919511
tas,CMCC-CMS,historical/RCP4.5,r1i1p1,6.060900963677323,NA,NA,NA
tas,CMCC-CMS,historical/RCP8.5,r1i1p1,6.1227076212565335,NA,NA,NA
tas,CMCC-CMS,RCP4.5,r1i1p1,NA,7.521734619140648,8.5796332465278,9.234592437744164
tas,CMCC-CMS,RCP8.5,r1i1p1,NA,7.258586120605491,9.353086174858964,11.642852444118947
tas,CNRM-CM5,historical/RCP2.6,r1i1p1,6.385540262858096,NA,NA,NA
tas,CNRM-CM5,historical/RCP4.5,r1i1p1,6.2970716688368285,NA,NA,NA
tas,CNRM-CM5,historical/RCP8.5,r1i1p1,6.309843529595292,NA,NA,NA
tas,CNRM-CM5,RCP2.6,r1i1p1,NA,7.604753536648243,8.254005347357879,8.115542093912783
tas,CNRM-CM5,RCP4.5,r1i1p1,NA,7.164995744493296,8.237056477864606,NA
tas,CNRM-CM5,RCP8.5,r1i1p1,NA,7.42690370347767,9.30916951497398,NA
tas,CSIRO-Mk3.6.0,historical/RCP2.6,r1i1p1,6.818138631184919,NA,NA,NA
tas,CSIRO-Mk3.6.0,historical/RCP4.5,r1i1p1,6.943244086371551,NA,NA,NA
tas,CSIRO-Mk3.6.0,historical/RCP6.0,r1i1p1,6.776270887586828,NA,NA,NA
tas,CSIRO-Mk3.6.0,historical/RCP8.5,r1i1p1,6.88600023057728,NA,NA,NA
tas,CSIRO-Mk3.6.0,RCP2.6,r1i1p1,NA,8.182869211832704,8.830703481038434,8.995238410102019
tas,CSIRO-Mk3.6.0,RCP4.5,r1i1p1,NA,8.03646146986222,9.244404178195552,9.891883002387175
tas,CSIRO-Mk3.6.0,RCP6.0,r1i1p1,NA,7.8110035366482435,8.55611504448787,10.21236504448787
tas,CSIRO-Mk3.6.0,RCP8.5,r1i1p1,NA,7.823498959011524,9.971809387207054,12.227012379964215
tas,EC-EARTH,historical/RCP4.5,r1i1p1,7.431738026936872,NA,NA,NA
tas,EC-EARTH,historical/RCP8.5,r1i1p1,7.448429955376541,NA,NA,NA
tas,EC-EARTH,RCP4.5,r1i1p1,NA,8.598774634467254,9.126678042941645,9.484098137749589
tas,EC-EARTH,RCP8.5,r1i1p1,NA,8.346765899658227,9.451935492621551,11.210893673366993
tas,FGOALS-g2,historical,r1i1p1,3.0753996107313597,NA,NA,NA
tas,FGOALS-g2,RCP2.6,r1i1p1,NA,3.6702782524956823,4.424775271945553,4.5086267259386075
tas,FGOALS-g2,RCP4.5,r1i1p1,NA,4.559395599365257,5.055987464057098,5.4043034023709
tas,FGOALS-g2,RCP8.5,r1i1p1,NA,4.264558410644554,6.299271053738087,8.59813902113175
tas,FIO-ESM,historical/RCP2.6,r1i1p1,7.818742709689693,NA,NA,NA
tas,FIO-ESM,historical/RCP4.5,r1i1p1,7.889656660291906,NA,NA,NA
tas,FIO-ESM,historical/RCP6.0,r1i1p1,7.880463578965951,NA,NA,NA
tas,FIO-ESM,historical/RCP8.5,r1i1p1,7.7485085381402135,NA,NA,NA
tas,FIO-ESM,RCP2.6,r1i1p1,NA,8.278918202718122,8.33981594509551,8.064821624755883
tas,FIO-ESM,RCP4.5,r1i1p1,NA,8.633107079399979,9.105540466308616,9.067551591661264
tas,FIO-ESM,RCP6.0,r1i1p1,NA,8.68763351440432,9.056591542561872,9.724895138210742
tas,FIO-ESM,RCP8.5,r1i1p1,NA,8.789285193549285,10.043543836805577,11.883020273844423
tas,GFDL-CM2p1,historical,r1i1p1,5.918492126464867,NA,NA,NA
tas,GFDL-CM3,historical/RCP2.6,r1i1p1,7.121381886800153,NA,NA,NA
tas,GFDL-CM3,historical/RCP4.5,r1i1p1,7.2123270670573145,NA,NA,NA
tas,GFDL-CM3,historical/RCP6.0,r1i1p1,7.236062622070335,NA,NA,NA
tas,GFDL-CM3,historical/RCP8.5,r1i1p1,7.236099243164086,NA,NA,NA
tas,GFDL-CM3,RCP2.6,r1i1p1,NA,8.858335113525413,9.935523393419077,10.314214070638045
tas,GFDL-CM3,RCP4.5,r1i1p1,NA,8.778603532579233,10.625044504801455,11.280550469292557
tas,GFDL-CM3,RCP6.0,r1i1p1,NA,9.151282077365474,10.068170759413,11.828518846299936
tas,GFDL-CM3,RCP8.5,r1i1p1,NA,9.202657572428409,11.387770165337479,13.922405836317298
tas,GFDL-ESM2G,historical/RCP2.6,r1i1p1,6.158015526665604,NA,NA,NA
tas,GFDL-ESM2G,historical/RCP4.5,r1i1p1,6.24242613050675,NA,NA,NA
tas,GFDL-ESM2G,historical/RCP6.0,r1i1p1,6.18114920722116,NA,NA,NA
tas,GFDL-ESM2G,historical/RCP8.5,r1i1p1,6.258513047960092,NA,NA,NA
tas,GFDL-ESM2G,RCP2.6,r1i1p1,NA,6.76469395955406,7.031645372178843,6.92707706027563
tas,GFDL-ESM2G,RCP4.5,r1i1p1,NA,7.068858930799719,7.669639333089216,7.655445522732228
tas,GFDL-ESM2G,RCP6.0,r1i1p1,NA,6.928545718722896,7.773357645670596,8.596485731336829
tas,GFDL-ESM2G,RCP8.5,r1i1p1,NA,7.142347632514129,8.472072855631533,10.148486836751324
tas,GFDL-ESM2M,historical/RCP2.6,r1i1p1,7.186628384060352,NA,NA,NA
tas,GFDL-ESM2M,historical/RCP4.5,r1i1p1,7.106863149007184,NA,NA,NA
tas,GFDL-ESM2M,historical/RCP6.0,r1i1p1,7.167246924506316,NA,NA,NA
tas,GFDL-ESM2M,historical/RCP8.5,r1i1p1,7.162808397081186,NA,NA,NA
